tensor([1.], device='mps:0')
Epoch [3/20], Train Loss: 0.2676, Val Loss: 0.2918, Test Loss: 2.3353Training Acc: 0.3187, Val Acc: 0.1039, Test Acc: 0.1027, 
[4,   200] loss: 2.098
[4,   400] loss: 2.112
[4,   600] loss: 2.118
[4,   800] loss: 2.114
[4,  1000] loss: 2.104
[4,  1200] loss: 2.099
[4,  1400] loss: 2.104
[4,  1600] loss: 2.103
[4,  1800] loss: 2.104
[4,  2000] loss: 2.092
[4,  2200] loss: 2.098
[4,  2400] loss: 2.088
[4,  2600] loss: 2.088
[4,  2800] loss: 2.102
[4,  3000] loss: 2.077
[4,  3200] loss: 2.081
[4,  3400] loss: 2.086
[4,  3600] loss: 2.097
[4,  3800] loss: 2.088
[4,  4000] loss: 2.072
[4,  4200] loss: 2.092
[4,  4400] loss: 2.067
[4,  4600] loss: 2.068
[4,  4800] loss: 2.081
[4,  5000] loss: 2.062
Epoch [4/20], Train Loss: 0.2615, Val Loss: 0.2992, Test Loss: 2.3962Training Acc: 0.3669, Val Acc: 0.0467, Test Acc: 0.0437, 
[5,   200] loss: 2.065
[5,   400] loss: 2.065
[5,   600] loss: 2.057
[5,   800] loss: 2.085
[5,  1000] loss: 2.061
[5,  1200] loss: 2.060
[5,  1400] loss: 2.064
[5,  1600] loss: 2.076
[5,  1800] loss: 2.054
[5,  2000] loss: 2.057
[5,  2200] loss: 2.060
[5,  2400] loss: 2.068
[5,  2600] loss: 2.060
[5,  2800] loss: 2.077
[5,  3000] loss: 2.062
[5,  3200] loss: 2.071
[5,  3400] loss: 2.057
[5,  3600] loss: 2.063
[5,  3800] loss: 2.068
[5,  4000] loss: 2.057
[5,  4200] loss: 2.054
[5,  4400] loss: 2.065
[5,  4600] loss: 2.063
[5,  4800] loss: 2.044
[5,  5000] loss: 2.063
Epoch [5/20], Train Loss: 0.2579, Val Loss: 0.2916, Test Loss: 2.3316Training Acc: 0.3959, Val Acc: 0.1097, Test Acc: 0.1116, 
[6,   200] loss: 2.028
[6,   400] loss: 2.052
[6,   600] loss: 2.057
[6,   800] loss: 2.055
[6,  1000] loss: 2.037
[6,  1200] loss: 2.053
[6,  1400] loss: 2.036
[6,  1600] loss: 2.038
[6,  1800] loss: 2.046
[6,  2000] loss: 2.040
[6,  2200] loss: 2.050
[6,  2400] loss: 2.040
[6,  2600] loss: 2.039
[6,  2800] loss: 2.064
[6,  3000] loss: 2.042
[6,  3200] loss: 2.024
[6,  3400] loss: 2.028
[6,  3600] loss: 2.036
[6,  3800] loss: 2.027
[6,  4000] loss: 2.032
[6,  4200] loss: 2.032
[6,  4400] loss: 2.037
[6,  4600] loss: 2.039
[6,  4800] loss: 2.037
[6,  5000] loss: 2.046
Epoch [6/20], Train Loss: 0.2551, Val Loss: 0.2982, Test Loss: 2.3838Training Acc: 0.4168, Val Acc: 0.0604, Test Acc: 0.0622, 
[7,   200] loss: 2.029
[7,   400] loss: 2.037
[7,   600] loss: 2.023
[7,   800] loss: 2.028
[7,  1000] loss: 2.036
[7,  1200] loss: 2.035
[7,  1400] loss: 2.031
[7,  1600] loss: 2.026
[7,  1800] loss: 2.025
[7,  2000] loss: 2.023
[7,  2200] loss: 2.036
[7,  2400] loss: 2.031
[7,  2600] loss: 2.016
[7,  2800] loss: 2.032
[7,  3000] loss: 2.035
[7,  3200] loss: 2.015
[7,  3400] loss: 2.027
[7,  3600] loss: 2.030
[7,  3800] loss: 2.030
[7,  4000] loss: 2.014
[7,  4200] loss: 2.003
[7,  4400] loss: 2.019
[7,  4600] loss: 2.019
[7,  4800] loss: 2.005
[7,  5000] loss: 2.012
Epoch [7/20], Train Loss: 0.2531, Val Loss: 0.2907, Test Loss: 2.3268Training Acc: 0.4327, Val Acc: 0.1235, Test Acc: 0.1194, 
[8,   200] loss: 2.012
[8,   400] loss: 2.040
[8,   600] loss: 2.023
[8,   800] loss: 2.018
[8,  1000] loss: 2.028
[8,  1200] loss: 2.017
[8,  1400] loss: 2.017
[8,  1600] loss: 2.006
[8,  1800] loss: 2.005
[8,  2000] loss: 2.017
[8,  2200] loss: 2.009
[8,  2400] loss: 2.009
[8,  2600] loss: 2.006
[8,  2800] loss: 2.014
[8,  3000] loss: 2.016
[8,  3200] loss: 2.001
[8,  3400] loss: 2.022
[8,  3600] loss: 2.017
[8,  3800] loss: 1.999
[8,  4000] loss: 2.030
[8,  4200] loss: 2.006
[8,  4400] loss: 1.992
[8,  4600] loss: 1.997
[8,  4800] loss: 2.017
[8,  5000] loss: 2.002
Epoch [8/20], Train Loss: 0.2516, Val Loss: 0.2912, Test Loss: 2.3329Training Acc: 0.4449, Val Acc: 0.1229, Test Acc: 0.1170, 
[9,   200] loss: 1.990
[9,   400] loss: 2.010
[9,   600] loss: 2.019
[9,   800] loss: 2.006
[9,  1000] loss: 2.010
[9,  1200] loss: 1.995
[9,  1400] loss: 2.009
[9,  1600] loss: 1.986
[9,  1800] loss: 2.010
[9,  2000] loss: 2.003
[9,  2200] loss: 1.988
[9,  2400] loss: 1.992
[9,  2600] loss: 1.989
[9,  2800] loss: 2.004
[9,  3000] loss: 2.000
[9,  3200] loss: 2.001
[9,  3400] loss: 2.024
[9,  3600] loss: 2.000
[9,  3800] loss: 2.009
[9,  4000] loss: 2.000
[9,  4200] loss: 2.014
[9,  4400] loss: 2.010
[9,  4600] loss: 2.014
[9,  4800] loss: 2.000
[9,  5000] loss: 1.997
Epoch [9/20], Train Loss: 0.2504, Val Loss: 0.2918, Test Loss: 2.3325Training Acc: 0.4547, Val Acc: 0.1136, Test Acc: 0.1174, 
[10,   200] loss: 1.978
[10,   400] loss: 1.986
[10,   600] loss: 1.982
[10,   800] loss: 1.995
[10,  1000] loss: 2.008
[10,  1200] loss: 1.992
[10,  1400] loss: 1.991
[10,  1600] loss: 1.976
[10,  1800] loss: 2.017
[10,  2000] loss: 2.013
[10,  2200] loss: 1.994
[10,  2400] loss: 1.982
[10,  2600] loss: 2.009
[10,  2800] loss: 2.005
[10,  3000] loss: 1.990
[10,  3200] loss: 2.011
[10,  3400] loss: 2.017
[10,  3600] loss: 2.017
[10,  3800] loss: 1.982
[10,  4000] loss: 1.993
[10,  4200] loss: 1.998
[10,  4400] loss: 1.972
[10,  4600] loss: 1.994
[10,  4800] loss: 1.999
[10,  5000] loss: 1.993
Epoch [10/20], Train Loss: 0.2495, Val Loss: 0.2917, Test Loss: 2.3251Training Acc: 0.4614, Val Acc: 0.1165, Test Acc: 0.1247, 
[11,   200] loss: 1.981
[11,   400] loss: 1.987
[11,   600] loss: 1.997
[11,   800] loss: 1.985
[11,  1000] loss: 1.990
[11,  1200] loss: 2.005
[11,  1400] loss: 2.005
[11,  1600] loss: 1.992
[11,  1800] loss: 1.972
[11,  2000] loss: 1.964
[11,  2200] loss: 1.983
[11,  2400] loss: 1.974
[11,  2600] loss: 1.993
[11,  2800] loss: 1.991
[11,  3000] loss: 1.999
[11,  3200] loss: 2.000
[11,  3400] loss: 1.994
[11,  3600] loss: 1.991
[11,  3800] loss: 1.963
[11,  4000] loss: 1.974
[11,  4200] loss: 1.976
[11,  4400] loss: 1.974
[11,  4600] loss: 1.990
[11,  4800] loss: 2.000
[11,  5000] loss: 1.980
Epoch [11/20], Train Loss: 0.2483, Val Loss: 0.2923, Test Loss: 2.3319Training Acc: 0.4711, Val Acc: 0.1118, Test Acc: 0.1199, 
[12,   200] loss: 1.989
[12,   400] loss: 1.983
[12,   600] loss: 1.965
[12,   800] loss: 1.991
[12,  1000] loss: 1.994
[12,  1200] loss: 1.974
[12,  1400] loss: 1.999
[12,  1600] loss: 1.984
[12,  1800] loss: 1.990
[12,  2000] loss: 1.976
[12,  2200] loss: 1.976
[12,  2400] loss: 1.975
[12,  2600] loss: 1.985
[12,  2800] loss: 1.997
[12,  3000] loss: 1.979
[12,  3200] loss: 1.985
[12,  3400] loss: 1.971
[12,  3600] loss: 1.994
[12,  3800] loss: 1.981
[12,  4000] loss: 1.972
[12,  4200] loss: 1.963
[12,  4400] loss: 1.977
[12,  4600] loss: 1.970
[12,  4800] loss: 1.978
[12,  5000] loss: 1.986
Epoch [12/20], Train Loss: 0.2477, Val Loss: 0.2937, Test Loss: 2.3465Training Acc: 0.4769, Val Acc: 0.1010, Test Acc: 0.1048, 
[13,   200] loss: 1.973
[13,   400] loss: 1.973
[13,   600] loss: 1.974
[13,   800] loss: 1.964
[13,  1000] loss: 1.952
[13,  1200] loss: 1.985
[13,  1400] loss: 1.956
[13,  1600] loss: 1.980
[13,  1800] loss: 1.953
[13,  2000] loss: 2.001
[13,  2200] loss: 1.970
[13,  2400] loss: 1.999
[13,  2600] loss: 1.989
[13,  2800] loss: 1.987
[13,  3000] loss: 1.981
[13,  3200] loss: 1.954
[13,  3400] loss: 1.981
[13,  3600] loss: 1.959
[13,  3800] loss: 1.990
[13,  4000] loss: 1.965
[13,  4200] loss: 1.964
[13,  4400] loss: 1.968
[13,  4600] loss: 1.963
[13,  4800] loss: 1.971
[13,  5000] loss: 1.978
Epoch [13/20], Train Loss: 0.2466, Val Loss: 0.2950, Test Loss: 2.3600Training Acc: 0.4856, Val Acc: 0.0899, Test Acc: 0.0896, 
[14,   200] loss: 1.959
[14,   400] loss: 1.973
[14,   600] loss: 1.967
[14,   800] loss: 1.971
[14,  1000] loss: 1.970
[14,  1200] loss: 1.963
[14,  1400] loss: 1.955
[14,  1600] loss: 1.976
[14,  1800] loss: 1.963
[14,  2000] loss: 1.968
[14,  2200] loss: 1.968
[14,  2400] loss: 1.983
[14,  2600] loss: 1.991
[14,  2800] loss: 1.964
[14,  3000] loss: 1.949
[14,  3200] loss: 1.981
[14,  3400] loss: 1.989
[14,  3600] loss: 1.986
[14,  3800] loss: 1.974
[14,  4000] loss: 1.972
[14,  4200] loss: 1.952
[14,  4400] loss: 1.972
[14,  4600] loss: 1.970
[14,  4800] loss: 1.952
[14,  5000] loss: 1.990
Epoch [14/20], Train Loss: 0.2463, Val Loss: 0.2966, Test Loss: 2.3713Training Acc: 0.4868, Val Acc: 0.0778, Test Acc: 0.0784, 
[15,   200] loss: 1.952
[15,   400] loss: 1.963
[15,   600] loss: 1.983
[15,   800] loss: 1.973
[15,  1000] loss: 1.954
[15,  1200] loss: 1.974
[15,  1400] loss: 1.965
[15,  1600] loss: 1.963
[15,  1800] loss: 1.966
[15,  2000] loss: 1.956
[15,  2200] loss: 1.971
[15,  2400] loss: 1.939
[15,  2600] loss: 1.962
[15,  2800] loss: 1.966
[15,  3000] loss: 1.986
[15,  3200] loss: 1.986
[15,  3400] loss: 1.952
[15,  3600] loss: 1.941
[15,  3800] loss: 1.954
[15,  4000] loss: 1.975
[15,  4200] loss: 1.959
[15,  4400] loss: 1.953
[15,  4600] loss: 1.968
[15,  4800] loss: 1.978
[15,  5000] loss: 1.955
Epoch [15/20], Train Loss: 0.2455, Val Loss: 0.2967, Test Loss: 2.3763Training Acc: 0.4949, Val Acc: 0.0777, Test Acc: 0.0742, 
[16,   200] loss: 1.941
[16,   400] loss: 1.966
[16,   600] loss: 1.969
[16,   800] loss: 1.964
[16,  1000] loss: 1.962
[16,  1200] loss: 1.961
[16,  1400] loss: 1.941
[16,  1600] loss: 1.949
[16,  1800] loss: 1.970
[16,  2000] loss: 1.945
[16,  2200] loss: 1.943
[16,  2400] loss: 1.922
[16,  2600] loss: 1.942
[16,  2800] loss: 1.958
[16,  3000] loss: 1.980
[16,  3200] loss: 1.948
[16,  3400] loss: 1.953
[16,  3600] loss: 1.966
[16,  3800] loss: 1.954
[16,  4000] loss: 1.966
[16,  4200] loss: 1.960
[16,  4400] loss: 1.981
[16,  4600] loss: 1.956
[16,  4800] loss: 1.959
[16,  5000] loss: 1.966
Epoch [16/20], Train Loss: 0.2446, Val Loss: 0.2906, Test Loss: 2.3258Training Acc: 0.5008, Val Acc: 0.1278, Test Acc: 0.1274, 
[17,   200] loss: 1.960
[17,   400] loss: 1.945
[17,   600] loss: 1.963
[17,   800] loss: 1.971
[17,  1000] loss: 1.926
[17,  1200] loss: 1.958
[17,  1400] loss: 1.919
[17,  1600] loss: 1.967
[17,  1800] loss: 1.947
[17,  2000] loss: 1.945
[17,  2200] loss: 1.948
[17,  2400] loss: 1.951
[17,  2600] loss: 1.947
[17,  2800] loss: 1.939
[17,  3000] loss: 1.954
[17,  3200] loss: 1.975
[17,  3400] loss: 1.940
[17,  3600] loss: 1.974
[17,  3800] loss: 1.956
[17,  4000] loss: 1.954
[17,  4200] loss: 1.955
[17,  4400] loss: 1.934
[17,  4600] loss: 1.963
[17,  4800] loss: 1.955
[17,  5000] loss: 1.936
Epoch [17/20], Train Loss: 0.2439, Val Loss: 0.2920, Test Loss: 2.3360Training Acc: 0.5070, Val Acc: 0.1163, Test Acc: 0.1163, 
[18,   200] loss: 1.946
[18,   400] loss: 1.966
[18,   600] loss: 1.954
[18,   800] loss: 1.938
[18,  1000] loss: 1.943
[18,  1200] loss: 1.951
[18,  1400] loss: 1.957
[18,  1600] loss: 1.949
[18,  1800] loss: 1.947
[18,  2000] loss: 1.953
[18,  2200] loss: 1.947
[18,  2400] loss: 1.923
[18,  2600] loss: 1.954
[18,  2800] loss: 1.950
[18,  3000] loss: 1.969
[18,  3200] loss: 1.968
[18,  3400] loss: 1.970
[18,  3600] loss: 1.937
[18,  3800] loss: 1.961
[18,  4000] loss: 1.945
[18,  4200] loss: 1.954
[18,  4400] loss: 1.947
[18,  4600] loss: 1.984
[18,  4800] loss: 1.962
[18,  5000] loss: 1.931
Epoch [18/20], Train Loss: 0.2440, Val Loss: 0.2927, Test Loss: 2.3407Training Acc: 0.5049, Val Acc: 0.1094, Test Acc: 0.1114, 
[19,   200] loss: 1.950
[19,   400] loss: 1.937
[19,   600] loss: 1.951
[19,   800] loss: 1.924
[19,  1000] loss: 1.941
[19,  1200] loss: 1.947
[19,  1400] loss: 1.952
[19,  1600] loss: 1.940
[19,  1800] loss: 1.958
[19,  2000] loss: 1.943
[19,  2200] loss: 1.939
[19,  2400] loss: 1.951
[19,  2600] loss: 1.942
[19,  2800] loss: 1.945
[19,  3000] loss: 1.946
[19,  3200] loss: 1.958
[19,  3400] loss: 1.961
[19,  3600] loss: 1.944
[19,  3800] loss: 1.949
[19,  4000] loss: 1.957
[19,  4200] loss: 1.922
[19,  4400] loss: 1.955
[19,  4600] loss: 1.938
[19,  4800] loss: 1.962
[19,  5000] loss: 1.932
Epoch [19/20], Train Loss: 0.2432, Val Loss: 0.2935, Test Loss: 2.3474Training Acc: 0.5122, Val Acc: 0.1053, Test Acc: 0.1049, 
[20,   200] loss: 1.952
[20,   400] loss: 1.945
[20,   600] loss: 1.945
[20,   800] loss: 1.941
[20,  1000] loss: 1.923
[20,  1200] loss: 1.923
[20,  1400] loss: 1.926
[20,  1600] loss: 1.932
[20,  1800] loss: 1.936
[20,  2000] loss: 1.942
[20,  2200] loss: 1.942
[20,  2400] loss: 1.930
[20,  2600] loss: 1.964
[20,  2800] loss: 1.939
[20,  3000] loss: 1.936
[20,  3200] loss: 1.948
[20,  3400] loss: 1.921
[20,  3600] loss: 1.938
[20,  3800] loss: 1.950
[20,  4000] loss: 1.942
[20,  4200] loss: 1.965
[20,  4400] loss: 1.919
[20,  4600] loss: 1.917
[20,  4800] loss: 1.930
[20,  5000] loss: 1.958
Epoch [20/20], Train Loss: 0.2423, Val Loss: 0.2926, Test Loss: 2.3319Training Acc: 0.5191, Val Acc: 0.1116, Test Acc: 0.1200, 
Model saved as ../results/AlexNet/weights/model_final.pt

Training AlexNet version: AlexNet_No_L5
[1,   200] loss: 2.303
[1,   400] loss: 2.301
[1,   600] loss: 2.301
[1,   800] loss: 2.299
[1,  1000] loss: 2.298
[1,  1200] loss: 2.295
[1,  1400] loss: 2.292
[1,  1600] loss: 2.290
[1,  1800] loss: 2.284
[1,  2000] loss: 2.278
[1,  2200] loss: 2.273
[1,  2400] loss: 2.272
[1,  2600] loss: 2.262
[1,  2800] loss: 2.264
[1,  3000] loss: 2.256
[1,  3200] loss: 2.252
[1,  3400] loss: 2.242
[1,  3600] loss: 2.250
[1,  3800] loss: 2.236
[1,  4000] loss: 2.242
[1,  4200] loss: 2.233
[1,  4400] loss: 2.235
[1,  4600] loss: 2.233
[1,  4800] loss: 2.225
[1,  5000] loss: 2.215
Epoch [1/20], Train Loss: 0.2832, Val Loss: 0.2868, Test Loss: 2.2921Training Acc: 0.1757, Val Acc: 0.1113, Test Acc: 0.1120, 
[2,   200] loss: 2.214
[2,   400] loss: 2.216
[2,   600] loss: 2.216
[2,   800] loss: 2.207
[2,  1000] loss: 2.197
[2,  1200] loss: 2.203
[2,  1400] loss: 2.190
[2,  1600] loss: 2.195
[2,  1800] loss: 2.185
[2,  2000] loss: 2.181
[2,  2200] loss: 2.170
[2,  2400] loss: 2.161
[2,  2600] loss: 2.173
[2,  2800] loss: 2.154
[2,  3000] loss: 2.156
[2,  3200] loss: 2.148
[2,  3400] loss: 2.165
[2,  3600] loss: 2.133
[2,  3800] loss: 2.134
[2,  4000] loss: 2.131
[2,  4200] loss: 2.136
[2,  4400] loss: 2.123
[2,  4600] loss: 2.137
[2,  4800] loss: 2.124
[2,  5000] loss: 2.116
Epoch [2/20], Train Loss: 0.2708, Val Loss: 0.2918, Test Loss: 2.3379Training Acc: 0.3026, Val Acc: 0.0963, Test Acc: 0.0927, 
[3,   200] loss: 2.121
[3,   400] loss: 2.116
[3,   600] loss: 2.095
[3,   800] loss: 2.115
[3,  1000] loss: 2.093
[3,  1200] loss: 2.106
[3,  1400] loss: 2.090
[3,  1600] loss: 2.115
[3,  1800] loss: 2.094
[3,  2000] loss: 2.088
[3,  2200] loss: 2.099
[3,  2400] loss: 2.088
[3,  2600] loss: 2.092
[3,  2800] loss: 2.081
[3,  3000] loss: 2.086
[3,  3200] loss: 2.079
[3,  3400] loss: 2.077
[3,  3600] loss: 2.080
[3,  3800] loss: 2.091
[3,  4000] loss: 2.092
[3,  4200] loss: 2.086
[3,  4400] loss: 2.093
[3,  4600] loss: 2.098
[3,  4800] loss: 2.072
[3,  5000] loss: 2.054
Epoch [3/20], Train Loss: 0.2615, Val Loss: 0.2899, Test Loss: 2.3235Training Acc: 0.3743, Val Acc: 0.1234, Test Acc: 0.1165, 
[4,   200] loss: 2.076
[4,   400] loss: 2.092
[4,   600] loss: 2.076
[4,   800] loss: 2.061
[4,  1000] loss: 2.057
[4,  1200] loss: 2.068
[4,  1400] loss: 2.060
[4,  1600] loss: 2.043
[4,  1800] loss: 2.055
[4,  2000] loss: 2.067
[4,  2200] loss: 2.058
[4,  2400] loss: 2.041
[4,  2600] loss: 2.054
[4,  2800] loss: 2.066
[4,  3000] loss: 2.044
[4,  3200] loss: 2.046
[4,  3400] loss: 2.074
[4,  3600] loss: 2.050
[4,  3800] loss: 2.067
[4,  4000] loss: 2.070
[4,  4200] loss: 2.042
[4,  4400] loss: 2.052
[4,  4600] loss: 2.037
[4,  4800] loss: 2.036
[4,  5000] loss: 2.042
Epoch [4/20], Train Loss: 0.2572, Val Loss: 0.2925, Test Loss: 2.3431Training Acc: 0.4037, Val Acc: 0.0970, Test Acc: 0.0938, 
[5,   200] loss: 2.032
[5,   400] loss: 2.048
[5,   600] loss: 2.066
[5,   800] loss: 2.052
[5,  1000] loss: 2.042
[5,  1200] loss: 2.037
[5,  1400] loss: 2.036
[5,  1600] loss: 2.043
[5,  1800] loss: 2.043
[5,  2000] loss: 2.030
[5,  2200] loss: 2.039
[5,  2400] loss: 2.035
[5,  2600] loss: 2.026
[5,  2800] loss: 2.035
[5,  3000] loss: 2.039
[5,  3200] loss: 2.032
[5,  3400] loss: 2.036
[5,  3600] loss: 2.034
[5,  3800] loss: 2.005
[5,  4000] loss: 2.030
[5,  4200] loss: 2.025
[5,  4400] loss: 2.023
[5,  4600] loss: 2.036
[5,  4800] loss: 2.033
[5,  5000] loss: 2.029
Epoch [5/20], Train Loss: 0.2544, Val Loss: 0.2949, Test Loss: 2.3569Training Acc: 0.4251, Val Acc: 0.0829, Test Acc: 0.0849, 
[6,   200] loss: 2.026
[6,   400] loss: 2.007
[6,   600] loss: 2.013
[6,   800] loss: 2.018
[6,  1000] loss: 2.005
[6,  1200] loss: 2.015
[6,  1400] loss: 2.009
[6,  1600] loss: 2.030
[6,  1800] loss: 2.013
[6,  2000] loss: 2.034
[6,  2200] loss: 2.009
[6,  2400] loss: 2.047
[6,  2600] loss: 2.039
[6,  2800] loss: 2.012
[6,  3000] loss: 2.014
[6,  3200] loss: 2.032
[6,  3400] loss: 2.026
[6,  3600] loss: 2.020
[6,  3800] loss: 2.016
[6,  4000] loss: 2.013
[6,  4200] loss: 2.018
[6,  4400] loss: 2.016
[6,  4600] loss: 2.006
[6,  4800] loss: 2.009
[6,  5000] loss: 2.002
Epoch [6/20], Train Loss: 0.2522, Val Loss: 0.2916, Test Loss: 2.3268Training Acc: 0.4418, Val Acc: 0.1096, Test Acc: 0.1153, 
[7,   200] loss: 2.022
[7,   400] loss: 2.018
[7,   600] loss: 2.007
[7,   800] loss: 1.992
[7,  1000] loss: 2.005
[7,  1200] loss: 1.976
[7,  1400] loss: 2.009
[7,  1600] loss: 2.014
[7,  1800] loss: 2.008
[7,  2000] loss: 2.008
[7,  2200] loss: 2.007
[7,  2400] loss: 2.017
[7,  2600] loss: 2.009
[7,  2800] loss: 1.992
[7,  3000] loss: 2.002
[7,  3200] loss: 2.014
[7,  3400] loss: 2.008
[7,  3600] loss: 1.988
[7,  3800] loss: 1.999
[7,  4000] loss: 2.004
[7,  4200] loss: 2.032
[7,  4400] loss: 1.983
[7,  4600] loss: 1.996
[7,  4800] loss: 2.021
[7,  5000] loss: 1.997
Epoch [7/20], Train Loss: 0.2506, Val Loss: 0.2976, Test Loss: 2.3812Training Acc: 0.4541, Val Acc: 0.0636, Test Acc: 0.0650, 
[8,   200] loss: 2.007
[8,   400] loss: 1.982
[8,   600] loss: 1.979
[8,   800] loss: 1.995
[8,  1000] loss: 1.998
[8,  1200] loss: 2.000
[8,  1400] loss: 2.000
[8,  1600] loss: 1.997
[8,  1800] loss: 1.964
[8,  2000] loss: 1.980
[8,  2200] loss: 1.997
[8,  2400] loss: 1.982
[8,  2600] loss: 1.995
[8,  2800] loss: 2.006
[8,  3000] loss: 1.990
[8,  3200] loss: 1.961
[8,  3400] loss: 1.990
[8,  3600] loss: 1.995
[8,  3800] loss: 1.994
[8,  4000] loss: 2.008
[8,  4200] loss: 1.993
[8,  4400] loss: 1.981
[8,  4600] loss: 1.996
[8,  4800] loss: 1.982
[8,  5000] loss: 2.003
Epoch [8/20], Train Loss: 0.2489, Val Loss: 0.2930, Test Loss: 2.3458Training Acc: 0.4686, Val Acc: 0.1031, Test Acc: 0.1026, 
[9,   200] loss: 1.998
[9,   400] loss: 1.985
[9,   600] loss: 1.978
[9,   800] loss: 1.981
[9,  1000] loss: 1.969
[9,  1200] loss: 1.982
[9,  1400] loss: 1.974
[9,  1600] loss: 1.988
[9,  1800] loss: 1.965
[9,  2000] loss: 1.970
[9,  2200] loss: 1.995
[9,  2400] loss: 1.985
[9,  2600] loss: 2.006
[9,  2800] loss: 1.985
[9,  3000] loss: 1.988
[9,  3200] loss: 2.010
[9,  3400] loss: 1.985
[9,  3600] loss: 1.977
[9,  3800] loss: 1.995
[9,  4000] loss: 1.974
[9,  4200] loss: 1.991
[9,  4400] loss: 1.968
[9,  4600] loss: 1.983
[9,  4800] loss: 1.988
[9,  5000] loss: 1.975
Epoch [9/20], Train Loss: 0.2480, Val Loss: 0.2922, Test Loss: 2.3418Training Acc: 0.4764, Val Acc: 0.1103, Test Acc: 0.1053, 
[10,   200] loss: 2.000
[10,   400] loss: 1.979
[10,   600] loss: 1.968
[10,   800] loss: 1.974
[10,  1000] loss: 1.969
[10,  1200] loss: 1.983
[10,  1400] loss: 1.988
[10,  1600] loss: 1.988
[10,  1800] loss: 1.976
[10,  2000] loss: 1.969
[10,  2200] loss: 1.977
[10,  2400] loss: 1.977
[10,  2600] loss: 1.993
[10,  2800] loss: 1.972
[10,  3000] loss: 1.971
[10,  3200] loss: 1.976
[10,  3400] loss: 1.977
[10,  3600] loss: 1.971
[10,  3800] loss: 1.957
[10,  4000] loss: 1.989
[10,  4200] loss: 1.983
[10,  4400] loss: 1.964
[10,  4600] loss: 1.958
[10,  4800] loss: 1.964
[10,  5000] loss: 1.942
Epoch [10/20], Train Loss: 0.2468, Val Loss: 0.2937, Test Loss: 2.3478Training Acc: 0.4859, Val Acc: 0.0982, Test Acc: 0.1006, 
[11,   200] loss: 1.967
[11,   400] loss: 1.971
[11,   600] loss: 1.966
[11,   800] loss: 1.959
[11,  1000] loss: 1.963
[11,  1200] loss: 1.998
[11,  1400] loss: 1.982
[11,  1600] loss: 1.973
[11,  1800] loss: 1.956
[11,  2000] loss: 1.964
[11,  2200] loss: 1.963
[11,  2400] loss: 1.968
[11,  2600] loss: 1.974
[11,  2800] loss: 1.965
[11,  3000] loss: 1.975
[11,  3200] loss: 1.972
[11,  3400] loss: 1.979
[11,  3600] loss: 1.972
[11,  3800] loss: 1.971
[11,  4000] loss: 1.980
[11,  4200] loss: 1.964
